ITEST_id,AveKnow,AveCarelessness,AveCorrect,AveResBored,AveResEngcon,AveResConf,AveResFrust,AveResOfftask,AveResGaming
1007,0.148059,0.093363,0.342175,0.285069,0.624269,0.104002,0.239385,0.236912,0.048286
101,0.195441,0.117634,0.403553,0.252399,0.619236,0.123829,0.241243,0.195611,0.069793
1013,0.324539,0.205643,0.442953,0.241589,0.671485,0.164270,0.085940,0.160825,0.039745
1016,0.105545,0.062372,0.271394,0.244065,0.642684,0.066851,0.128647,0.188778,0.237888
1020,0.363038,0.201753,0.489796,0.213347,0.680127,0.098354,0.126788,0.133223,0.129746
1044,0.160284,0.086193,0.339286,0.313041,0.607229,0.154043,0.132679,0.398807,0.053484
1045,0.190443,0.143988,0.365741,0.263028,0.660910,0.198284,0.113975,0.254879,0.025716
1046,0.094409,0.055964,0.294677,0.213178,0.683591,0.077302,0.129209,0.122400,0.298730
1047,0.102428,0.062206,0.304348,0.205797,0.689716,0.080710,0.131073,0.135182,0.351309
1054,0.071577,0.064143,0.269341,0.295304,0.609150,0.194106,0.183594,0.223876,0.020800
1055,0.261920,0.149014,0.475787,0.228593,0.689880,0.134198,0.145674,0.153230,0.094648
1064,0.144024,0.076551,0.370763,0.269801,0.643245,0.100796,0.088592,0.229903,0.072893
1079,0.127975,0.057496,0.314308,0.202711,0.690748,0.097474,0.147408,0.120159,0.301573
1088,0.226100,0.119103,0.486111,0.319876,0.635239,0.156589,0.018404,0.432732,0.004368
1089,0.107439,0.056093,0.411458,0.243114,0.630893,0.086356,0.227761,0.227427,0.189398
1099,0.233906,0.143558,0.472477,0.263040,0.649385,0.137149,0.104724,0.239032,0.016504
11,0.124832,0.090318,0.326957,0.262076,0.643418,0.147169,0.118977,0.208981,0.083459
1107,0.313215,0.157878,0.429658,0.197952,0.706527,0.059645,0.129002,0.120948,0.360242
1108,0.227949,0.133286,0.379098,0.221565,0.684493,0.098897,0.187318,0.141923,0.202209
1109,0.438065,0.231096,0.590909,0.254915,0.650229,0.088072,0.197123,0.212590,0.012150
1110,0.067632,0.045269,0.230556,0.175044,0.695964,0.014523,0.098040,0.083827,0.647848
1117,0.218128,0.119273,0.346841,0.206894,0.644039,0.078604,0.111315,0.132285,0.287958
1124,0.144998,0.128269,0.428571,0.254461,0.624675,0.065129,0.349137,0.300548,0.206626
1125,0.226501,0.133112,0.449871,0.281987,0.546257,0.137388,0.201942,0.227636,0.021049
1135,0.142166,0.106406,0.346915,0.236636,0.670820,0.144543,0.156041,0.142504,0.037372
114,0.142242,0.085296,0.396552,0.267312,0.646790,0.094737,0.199609,0.211144,0.074047
1143,0.088739,0.058203,0.327044,0.267625,0.613586,0.118706,0.131222,0.260705,0.111108
1154,0.079289,0.043241,0.326059,0.245809,0.623806,0.084331,0.134298,0.176377,0.153847
1159,0.219208,0.128890,0.433460,0.259363,0.667439,0.138014,0.120154,0.170468,0.019952
1162,0.393884,0.219389,0.497093,0.244243,0.657095,0.128056,0.199292,0.158508,0.019699
1172,0.317619,0.175017,0.474299,0.240545,0.649885,0.080010,0.115823,0.176568,0.114971
1177,0.475768,0.200206,0.654400,0.247457,0.604970,0.080038,0.173734,0.218470,0.009570
1178,0.160607,0.100407,0.336049,0.275586,0.626973,0.127228,0.112377,0.243901,0.077765
118,0.120320,0.079520,0.319461,0.250864,0.662240,0.137439,0.142874,0.154649,0.129343
